epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,2426.36,1.41148,1.4827,1.27853,0.68744,0.48754,0.53209,0.33921,1.05076,0.87154,1.02354,0.00999665,0.00333222,0.00999665,0.00333222,0.00999665,0.00333222,0.00999665,0.00333222
2,4677.23,1.24096,1.04222,1.16821,0.67265,0.53107,0.57283,0.36725,1.0221,0.80147,1.00979,0.0197987,0.00659956,0.0197987,0.00659956,0.0197987,0.00659956,0.0197987,0.00659956
3,6860.9,1.24418,1.02679,1.17002,0.70157,0.53949,0.58736,0.37165,1.0191,0.79583,1.01502,0.0294027,0.0098009,0.0294027,0.0098009,0.0294027,0.0098009,0.0294027,0.0098009
4,9028.96,1.22034,0.99342,1.16031,0.71413,0.57503,0.61941,0.39699,0.97448,0.74301,0.99318,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,11200.5,1.17099,0.9374,1.13551,0.72801,0.59224,0.63709,0.41665,0.94504,0.70866,0.97721,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,13358.2,1.14383,0.90641,1.12115,0.74112,0.60526,0.64944,0.42803,0.91983,0.68451,0.96533,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,2613.23,1.11627,0.84636,1.10832,0.75737,0.61629,0.65243,0.42906,0.89855,0.65122,0.95332,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,5218.48,1.09829,0.82627,1.09784,0.76196,0.62715,0.66385,0.43799,0.88304,0.63456,0.94699,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,7820.19,1.08319,0.80872,1.08893,0.77779,0.6324,0.67371,0.44849,0.87155,0.62322,0.94167,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,10418.1,1.07331,0.79767,1.08343,0.77197,0.64389,0.67957,0.45445,0.86272,0.61384,0.93628,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,2509.63,1.05483,0.78058,1.07546,0.77727,0.64788,0.68613,0.45937,0.85535,0.60539,0.93391,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5048.24,1.04963,0.77392,1.07203,0.77421,0.65377,0.68654,0.46207,0.84925,0.59859,0.93111,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,7573.14,1.04269,0.76597,1.06752,0.7745,0.65741,0.69186,0.46535,0.84559,0.59434,0.92935,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,10093.4,1.03975,0.76159,1.06555,0.78273,0.65917,0.69505,0.46902,0.84019,0.58943,0.92635,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,12600.5,1.04157,0.76404,1.06674,0.78517,0.66005,0.69669,0.47139,0.8373,0.5877,0.92503,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,15108,1.03576,0.75846,1.06395,0.78624,0.66211,0.69944,0.47424,0.83376,0.58399,0.92318,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,2521.5,1.01829,0.7422,1.05618,0.78897,0.66123,0.70052,0.47516,0.83232,0.58185,0.92257,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,5088.49,1.02036,0.74374,1.05642,0.78894,0.66109,0.70101,0.47586,0.83096,0.58007,0.92208,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,7591.46,1.01815,0.73997,1.05439,0.78463,0.6646,0.70226,0.47671,0.82978,0.5791,0.92152,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
20,10076.8,1.01753,0.73861,1.05352,0.78736,0.66356,0.7026,0.47727,0.82907,0.57831,0.92105,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119,0.024357,0.008119
21,12568.6,1.01992,0.74161,1.05511,0.78491,0.66557,0.70342,0.4782,0.82835,0.57774,0.92059,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
22,15043.3,1.01871,0.74044,1.05496,0.7859,0.6662,0.70427,0.47906,0.82747,0.5769,0.92027,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921,0.023763,0.007921
23,17526.6,1.0165,0.73804,1.05357,0.78496,0.66654,0.70515,0.47962,0.8261,0.57605,0.91966,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822,0.023466,0.007822
24,20015.2,1.01445,0.73606,1.0523,0.78544,0.668,0.70627,0.48053,0.82491,0.57487,0.91904,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723,0.023169,0.007723
25,22491.3,1.01129,0.73233,1.04982,0.78627,0.66962,0.70669,0.48151,0.82354,0.57378,0.91835,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624,0.022872,0.007624
26,24983,1.00862,0.73013,1.04895,0.78384,0.67267,0.70805,0.48236,0.82223,0.57256,0.91757,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
27,27468.4,1.00759,0.72876,1.04882,0.784,0.67412,0.70914,0.48374,0.82105,0.5712,0.91694,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426,0.022278,0.007426
28,29959.1,1.00559,0.72722,1.04771,0.78344,0.67552,0.70982,0.48437,0.8198,0.56989,0.91623,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327,0.021981,0.007327
29,32446,1.00178,0.72311,1.04577,0.78319,0.67563,0.71064,0.4853,0.81854,0.56875,0.91565,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228,0.021684,0.007228
30,34926.3,0.99919,0.72005,1.04392,0.78617,0.67354,0.71146,0.48634,0.81722,0.56736,0.91488,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129,0.021387,0.007129
31,37428.8,0.99646,0.71803,1.04292,0.786,0.67479,0.71213,0.48696,0.816,0.5662,0.91425,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
32,39928.9,0.9979,0.72053,1.04364,0.79032,0.67309,0.71326,0.48797,0.81501,0.56521,0.91365,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931,0.020793,0.006931
33,42426,0.99341,0.71533,1.04111,0.79135,0.67439,0.7143,0.48867,0.81393,0.56403,0.91314,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832,0.020496,0.006832
34,44924.5,0.99055,0.71252,1.03885,0.79068,0.67567,0.71499,0.48921,0.81292,0.56311,0.91264,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733,0.020199,0.006733
35,47397.8,0.98892,0.71128,1.03874,0.79139,0.67617,0.71583,0.49023,0.81192,0.56207,0.91194,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634,0.019902,0.006634
36,49884,0.98829,0.70993,1.03743,0.78977,0.67749,0.71656,0.49109,0.81092,0.56109,0.91124,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
37,52382.4,0.98663,0.70766,1.03694,0.79117,0.67897,0.71739,0.49212,0.81002,0.5602,0.91062,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436,0.019308,0.006436
38,54889.9,0.9841,0.70512,1.03606,0.79076,0.67958,0.71802,0.4929,0.80904,0.55922,0.91,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337,0.019011,0.006337
